"105年10月13日各類指數日成交量值"
"分類指數名稱","成交股數","成交金額","成交筆數","漲跌指數",
"水泥類指數          ","16,285,576","506,511,590","8,162","-2.65",
"食品類指數          ","19,050,282","863,200,214","10,266","16.81",
"塑膠類指數          ","97,634,835","3,395,715,961","38,023","0.63",
"紡織纖維類指數      ","20,187,835","725,838,300","10,590","-2.59",
"電機機械類指數      ","47,452,142","3,143,636,546","24,012","-1.67",
"電器電纜類指數      ","7,780,536","90,440,034","2,757","-0.04",
"化學生技醫療類指數  ","33,980,593","1,971,192,290","18,988","0.01",
"化學類指數          ","24,032,408","920,998,362","12,309","0.40",
"生技醫療類指數      ","9,948,185","1,050,193,928","6,679","-0.35",
"玻璃陶瓷類指數      ","2,422,036","33,410,197","839","-0.46",
"造紙類指數          ","5,744,949","74,973,006","2,357","-0.73",
"鋼鐵類指數          ","29,112,774","548,335,668","11,182","-0.20",
"橡膠類指數          ","20,920,771","911,886,496","11,786","1.37",
"汽車類指數          ","4,076,538","311,938,859","2,980","-3.04",
"電子類指數          ","900,223,328","47,260,087,579","362,863","-1.64",
"半導體類指數        ","203,759,156","15,598,437,964","80,740","-0.73",
"電腦及週邊設備類指數","112,362,430","6,199,923,484","53,501","-0.44",
"光電類指數          ","279,532,592","7,995,955,482","80,810","-0.32",
"通信網路類指數      ","90,610,583","6,203,889,411","47,355","-0.33",
"電子零組件類指數    ","129,442,132","5,341,987,190","55,828","-0.04",
"電子通路類指數      ","22,042,311","705,693,633","10,551","-0.65",
"資訊服務類指數      ","1,747,063","57,025,476","1,074","-0.14",
"其他電子類指數      ","60,727,061","5,157,174,939","33,004","-0.09",
"建材營造類指數      ","21,956,877","433,843,589","9,605","-0.24",
"航運業類指數        ","28,394,558","414,341,413","12,682","-0.19",
"觀光事業類指數      ","2,122,245","203,089,654","1,487","-0.54",
"金融保險類指數      ","279,934,710","5,142,847,761","86,078","-8.84",
"貿易百貨類指數      ","15,067,034","657,351,449","7,010","-0.71",
"油電燃氣類指數      ","6,227,239","584,338,167","4,256","2.38",
"其他類指數          ","33,338,226","2,343,432,057","20,357","-2.76",
"說明:"
"以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。"

